x,y,z,D_020,D_040,D_260,D_280,D_300,D_320,D_340,D_360
-4,-28,1.5,7.807934659090909e-05,1.886159090909091e-05,5.1327982954545455e-05,8.483468749999998e-05,7.558997727272727e-05,8.549236363636364e-05,9.486694602272727e-05,7.387600000000001e-05
0,-28,1.5,7.55157784090909e-05,1.684690909090909e-05,5.005053977272727e-05,8.28997159090909e-05,7.417939772727272e-05,8.434309090909093e-05,9.35516193181818e-05,7.162181818181818e-05
4,-28,1.5,7.189248579545455e-05,1.4925204545454544e-05,4.8279147727272726e-05,8.162607954545453e-05,7.331875568181818e-05,8.297727272727272e-05,9.1325e-05,6.966399999999999e-05
8,-28,1.5,6.875148579545454e-05,1.3285704545454542e-05,4.7012812499999996e-05,8.015588068181818e-05,7.16349375e-05,8.143527272727273e-05,9.006359375e-05,6.789145454545454e-05
12,-28,1.5,6.402957954545455e-05,1.2115931818181818e-05,4.5725937499999995e-05,7.940235795454544e-05,7.085173295454545e-05,8.09678181818182e-05,8.753653409090907e-05,6.5788e-05
16,-28,1.5,5.881269886363636e-05,1.1952886363636362e-05,4.40115625e-05,7.706201704545454e-05,6.93715909090909e-05,7.944218181818181e-05,8.493985795454544e-05,6.389272727272727e-05
20,-28,1.5,5.660225284090908e-05,1.1102068181818181e-05,4.176551136363636e-05,7.491511363636362e-05,6.819081818181818e-05,7.788872727272727e-05,8.285265624999999e-05,6.140436363636363e-05
24,-28,1.5,5.542202556818182e-05,9.512840909090909e-06,3.9390937499999995e-05,7.191099431818182e-05,6.674157954545453e-05,7.739563636363637e-05,8.004842329545453e-05,5.870527272727272e-05
28,-28,1.5,5.355309374999999e-05,8.442431818181818e-06,3.942448863636364e-05,7.142923295454545e-05,6.645569318181818e-05,7.687636363636363e-05,7.848842329545454e-05,5.700727272727272e-05
32,-28,1.5,5.307174715909091e-05,8.52009090909091e-06,3.984181818181817e-05,7.177122159090908e-05,6.64609431818182e-05,7.657090909090909e-05,7.751619318181818e-05,5.838872727272727e-05
36,-28,1.5,5.327629261363636e-05,8.555840909090909e-06,4.080142045454545e-05,7.161775568181816e-05,6.625094318181818e-05,7.632563636363637e-05,7.750345170454544e-05,5.856490909090909e-05
40,-28,1.5,5.160825e-05,8.843886363636362e-06,3.394741477272727e-05,6.135559659090908e-05,6.357141477272726e-05,7.615345454545453e-05,7.06795596590909e-05,6.352090909090908e-05
-60,-24,1.5,0.00012055014204545454,5.864529545454546e-05,8.27794318181818e-05,0.00011497215909090906,0.00010144073863636363,0.00011663072727272726,0.0001370689346590909,0.00011682072727272728
-56,-24,1.5,0.00011919502840909089,5.773631818181818e-05,8.229619318181818e-05,0.00011487727272727272,0.0001018874659090909,0.0001159030909090909,0.00013642964488636363,0.00011398745454545452
